"idx","cd_nm","cd_a","cd_b","cd_memo","cd_memo2","del_flag","order_num","ins_dt","edit_dt"
992,최초 로그인,STA,"11","","",N,999,2022-07-05 10:37:07.000,
993,테스트 사진 업로드,STA,"12","","",N,999,2022-07-05 10:40:24.000,
994,예정여행지변경신청,STA,"13","","",N,999,2022-07-05 10:44:25.000,
995,예정여행지변경승인,STA,"14","","",N,999,2022-07-05 10:44:32.000,
996,여행 중,STA,"20","","",N,999,2022-07-05 10:44:38.000,
997,여행 후(기록전),STA,"30","","",N,999,2022-07-05 10:44:45.000,
998,여행 기록 입력 중,STA,"40","","",N,999,2022-07-05 10:44:52.000,
999,여행 기록 입력 완료,STA,"50","","",N,999,2022-07-05 10:44:59.000,
1000,여행 기록 보완 요청,STA,"60","","",N,999,2022-07-05 10:45:09.000,
1001,여행 기록 보완 완료,STA,"70","","",N,999,2022-07-05 10:45:19.000,
1002,자연관광지,VIS,"1","","",N,10,2022-07-05 10:48:17.000,
1003,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",VIS,"2","","",N,20,2022-07-05 10:48:24.000,
1004,자가용(승용/승합/트럭 등등),MOV,"1","","",N,999,2022-07-05 10:49:19.000,
1005,"문화 시설(공연장, 영화관, 전시관 등)",VIS,"3","","",N,30,2022-07-05 11:23:34.000,
1006,"상업지구(거리, 시장, 쇼핑시설)",VIS,"4","","",N,40,2022-07-05 11:23:39.000,
1007,"레저/스포츠 관련 시설(스키, 카트, 수상레저)",VIS,"5","","",N,50,2022-07-05 11:23:47.000,
1008,"테마시설(놀이공원, 워터파크)",VIS,"6","","",N,60,2022-07-05 11:23:56.000,
1009,"산책로, 둘레길 등",VIS,"7","","",N,70,2022-07-05 11:24:06.000,
1010,지역 축제/행사,VIS,"8","","",N,80,2022-07-05 11:24:15.000,
1011,"역, 터미널, 고속도로 휴게소",VIS,"9","","",N,90,2022-07-05 11:24:23.000,
1012,상점,VIS,"10","","",N,100,2022-07-05 11:24:31.000,
1013,식당/카페,VIS,"11","","",N,110,2022-07-05 11:24:40.000,
1014,기타,VIS,"12","","",N,120,2022-07-05 11:24:49.000,
1015,렌터카(승용/승합/버스 등등),MOV,"2","","",N,999,2022-07-05 11:25:07.000,
1016,캠핑카(자차 및 렌탈),MOV,"3","","",N,999,2022-07-05 11:25:13.000,
1017,택시,MOV,"4","","",N,999,2022-07-05 11:25:24.000,
1018,지하철,MOV,"5","","",N,999,2022-07-05 11:25:34.000,
1019,고속전철(ITX 등),MOV,"6","","",N,999,2022-07-05 11:25:48.000,
1020,KTX/SRT(고속열차),MOV,"7","","",N,999,2022-07-05 11:26:02.000,
1021,새마을/무궁화열차,MOV,"8","","",N,999,2022-07-05 11:26:10.000,
1022,항공기,MOV,"9","","",N,999,2022-07-05 11:26:17.000,
1023,배/선박,MOV,"10","","",N,999,2022-07-05 11:26:26.000,
1024,관광버스,MOV,"11","","",N,999,2022-07-05 11:26:33.000,
1025,시외/고속버스,MOV,"12","","",N,999,2022-07-05 11:26:39.000,
1026,시내/마을버스,MOV,"13","","",N,999,2022-07-05 11:26:49.000,
1027,자전거,MOV,"14","","",N,999,2022-07-05 11:26:56.000,
1028,도보,MOV,"15","","",N,999,2022-07-05 11:27:04.000,
1029,기타,MOV,"16","","",N,999,2022-07-05 11:27:12.000,
1030,처음 방문,REV,"1","","",N,999,2022-07-05 11:27:41.000,
1031,재방문,REV,"2","","",N,999,2022-07-05 11:27:49.000,
1032,지명도/명소/핫플레이스,REN,"1","","",N,999,2022-07-05 11:28:35.000,
1033,"온라인(SNS, 블로그 등) 평가가 좋아서",REN,"2","","",N,999,2022-07-05 11:28:42.000,
1034,미디어(TV 정보 프로그램 등) 평가가 좋아서,REN,"3","","",N,999,2022-07-05 11:28:47.000,
1035,과거 경험이 좋아서,REN,"4","","",N,999,2022-07-05 11:28:54.000,
1036,지인의 추천이 있어서,REN,"5","","",N,999,2022-07-05 11:29:01.000,
1037,가기 편해서/교통이 좋아서,REN,"6","","",N,999,2022-07-05 11:29:09.000,
1038,편의시설/서비스가 좋아서,REN,"7","","",N,999,2022-07-05 11:29:36.000,
1039,가성비가 좋아서,REN,"8","","",N,999,2022-07-05 11:29:44.000,
1040,지나가다 우연히,REN,"9","","",N,999,2022-07-05 11:29:51.000,
1041,교육성이 좋아서,REN,"10","","",N,999,2022-07-05 11:29:59.000,
1042,기타,REN,"11","","",N,999,2022-07-05 11:30:08.000,
1043,호텔,HTY,"1","","",N,999,2022-07-05 11:31:29.000,
1044,모텔/여관,HTY,"2","","",N,999,2022-07-05 11:31:37.000,
1045,펜션,HTY,"3","","",N,999,2022-07-05 11:31:43.000,
1046,콘도미니엄/리조트,HTY,"4","","",N,999,2022-07-05 11:31:50.000,
1047,"야영(캠핑,글램핑등)",HTY,"5","","",N,999,2022-07-05 11:31:56.000,
1048,전통 숙박시설,HTY,"6","","",N,999,2022-07-05 11:32:02.000,
1049,게스트하우스,HTY,"7","","",N,999,2022-07-05 11:32:24.000,
1050,민박,HTY,"8","","",N,999,2022-07-05 11:32:32.000,
1051,자연휴양림내 시설,HTY,"9","","",N,999,2022-07-05 11:32:41.000,
1052,가족/친지집,HTY,"10","","",N,999,2022-07-05 11:32:54.000,
1053,기타,HTY,"11","","",N,999,2022-07-05 11:33:14.000,2022-07-05 11:33:34.000
1054,무박 여행,HTY,"12","","",N,999,2022-07-05 11:33:21.000,
1055,취식,ACT,"1","","",N,10,2022-07-05 11:34:29.000,
